DATE,TIME_M,EX,BID,BIDSIZ,ASK,ASKSIZ,QU_COND,QU_SEQNUM,NATBBO_IND,QU_CANCEL,QU_SOURCE,SYM_ROOT,SYM_SUFFIX
20190102,10:01:18.879135411,K,303.02,1,303.55,1,R,6455151,0,,N,TSLA,
20190102,10:01:18.907955417,Z,303.02,1,303.31,1,R,6455344,0,,N,TSLA,
20190102,10:01:18.907969031,K,303.02,1,303.55,1,R,6455345,0,,N,TSLA,
20190102,10:01:18.908021149,Y,302.73,1,303.28,1,R,6455346,0,,N,TSLA,
20190102,10:01:18.908067202,Y,302.73,1,309.0,1,R,6455347,0,,N,TSLA,
20190102,10:01:18.908143563,K,303.02,1,303.53,1,R,6455348,0,,N,TSLA,
20190102,10:01:18.908242218,Z,303.02,1,303.31,1,R,6455349,0,,N,TSLA,
20190102,10:01:18.908252019,K,303.02,1,303.53,1,R,6455350,0,,N,TSLA,
20190102,10:01:18.908317015,Z,303.01,3,303.31,1,R,6455351,0,,N,TSLA,
20190102,10:01:18.908342511,K,303.01,2,303.53,1,R,6455352,0,,N,TSLA,
20190102,10:01:18.922620154,M,0.0,0,0.0,0,R,6455524,2,,N,TSLA,
20190102,10:01:18.948345157,K,303.01,1,303.53,1,R,6455640,0,,N,TSLA,
20190102,10:01:18.948439336,Y,302.73,1,303.28,1,R,6455641,0,,N,TSLA,
20190102,10:01:19.079768420,K,303.01,1,303.49,1,R,6455908,0,,N,TSLA,
20190102,10:01:19.080218209,K,303.01,1,303.49,1,R,6455924,0,,N,TSLA,
20190102,10:01:19.080339119,K,303.01,1,303.48,1,R,6455927,0,,N,TSLA,
20190102,10:01:19.080782392,K,303.01,1,303.48,1,R,6455935,0,,N,TSLA,
20190102,10:01:19.080891070,K,303.01,1,303.47,1,R,6455938,0,,N,TSLA,
20190102,10:01:19.081326393,K,303.01,1,303.47,1,R,6455944,0,,N,TSLA,
20190102,10:01:19.081428886,K,303.01,1,303.46,1,R,6455950,0,,N,TSLA,
20190102,10:01:19.081864821,K,303.01,1,303.46,1,R,6455953,0,,N,TSLA,
20190102,10:01:19.081970479,K,303.01,1,303.45,1,R,6455954,0,,N,TSLA,
20190102,10:01:19.082408813,K,303.01,1,303.45,1,R,6455955,0,,N,TSLA,
20190102,10:01:19.082514445,K,303.01,1,303.44,1,R,6455956,0,,N,TSLA,
20190102,10:01:19.082960103,K,303.01,1,303.44,1,R,6455957,0,,N,TSLA,
20190102,10:01:19.083063053,K,303.01,1,303.43,1,R,6455958,0,,N,TSLA,
20190102,10:01:19.366982572,Q,303.0,11,303.21,1,R,6456686,0,,N,TSLA,
20190102,10:01:19.475748375,Y,302.73,1,303.27,1,R,6456856,0,,N,TSLA,
20190102,10:01:19.530729745,K,303.14,2,303.43,1,R,6456930,2,,N,TSLA,
20190102,10:01:19.530843684,Y,302.73,1,309.0,1,R,6456931,0,,N,TSLA,
20190102,10:01:19.530856789,Y,302.73,1,303.26,1,R,6456932,0,,N,TSLA,
20190102,10:01:19.531484830,Q,303.0,10,303.21,1,R,6456933,0,,N,TSLA,
20190102,10:01:19.541284469,K,303.01,1,303.43,1,R,6456945,2,,N,TSLA,
20190102,10:01:19.541370399,Y,302.73,1,309.0,1,R,6456946,0,,N,TSLA,
20190102,10:01:19.547793331,K,303.12,2,303.43,1,R,6456952,2,,N,TSLA,
20190102,10:01:19.585026777,Y,302.73,1,309.0,1,R,6457052,0,,N,TSLA,
20190102,10:01:19.585524622,Y,302.73,1,309.0,1,R,6457058,0,,N,TSLA,
20190102,10:01:19.724660756,Y,302.73,1,303.27,1,R,6457871,0,,N,TSLA,
20190102,10:01:20.009888780,K,303.01,1,303.43,1,R,6459208,2,,N,TSLA,
20190102,10:01:20.010018102,Y,302.73,1,303.23,1,R,6459210,0,,N,TSLA,
20190102,10:01:20.010054545,K,303.01,1,303.43,1,R,6459211,0,,N,TSLA,
20190102,10:01:20.010070794,Z,303.01,2,303.31,1,R,6459212,0,,N,TSLA,
20190102,10:01:20.010176089,Z,303.01,2,303.31,1,R,6459213,0,,N,TSLA,
20190102,10:01:20.010177998,K,303.01,1,303.43,1,R,6459214,0,,N,TSLA,
20190102,10:01:20.010287045,Z,303.01,2,303.3,1,R,6459216,0,,N,TSLA,
20190102,10:01:20.010300801,K,303.01,1,303.3,1,R,6459217,0,,N,TSLA,
20190102,10:01:20.010383965,Z,303.01,2,303.27,2,R,6459218,0,,N,TSLA,
20190102,10:01:20.010395887,K,303.01,1,303.27,2,R,6459219,0,,N,TSLA,
20190102,10:01:20.041579848,Z,303.01,2,303.3,1,R,6459428,0,,N,TSLA,
20190102,10:01:20.041588710,K,303.01,1,303.3,1,R,6459430,0,,N,TSLA,
20190102,10:01:20.077661555,Z,303.01,1,303.3,1,R,6459509,0,,N,TSLA,
20190102,10:01:20.461348441,Y,302.73,1,309.0,1,R,6461090,0,,N,TSLA,
20190102,10:01:20.461451426,K,303.01,1,303.32,1,R,6461091,0,,N,TSLA,
20190102,10:01:20.461451787,Z,303.01,1,303.31,1,R,6461092,0,,N,TSLA,
20190102,10:01:20.461558546,Z,303.02,1,303.31,1,R,6461094,0,,N,TSLA,
20190102,10:01:20.461562746,K,303.01,1,303.44,1,R,6461095,0,,N,TSLA,
20190102,10:01:20.461659226,K,303.01,1,303.33,1,R,6461097,0,,N,TSLA,
20190102,10:01:20.461700015,K,303.01,1,303.35,1,R,6461098,0,,N,TSLA,
20190102,10:01:20.461709471,K,303.01,1,303.44,1,R,6461099,0,,N,TSLA,
20190102,10:01:20.461758795,K,303.01,1,303.43,1,R,6461100,0,,N,TSLA,
20190102,10:01:20.461784809,K,303.01,1,303.32,2,R,6461101,0,,N,TSLA,
20190102,10:01:20.461794367,K,303.01,1,303.43,1,R,6461102,0,,N,TSLA,
20190102,10:01:20.477838068,Y,302.73,1,303.26,1,R,6461183,0,,N,TSLA,
20190102,10:01:20.494580559,K,303.0,8,303.43,1,R,6461226,0,,N,TSLA,
20190102,10:01:20.494589940,K,303.0,7,303.43,1,R,6461227,0,,N,TSLA,
20190102,10:01:20.494591916,Z,303.02,1,303.31,2,R,6461228,0,,N,TSLA,
20190102,10:01:20.494660462,Z,302.99,1,303.31,2,R,6461229,0,,N,TSLA,
20190102,10:01:20.494694512,K,303.0,7,303.43,1,R,6461230,0,,N,TSLA,
20190102,10:01:20.517888998,Y,302.73,1,303.23,1,R,6461289,0,,N,TSLA,
20190102,10:01:20.657152380,K,303.0,7,303.42,1,R,6461664,0,,N,TSLA,
20190102,10:01:20.657597516,K,303.0,7,303.42,1,R,6461678,0,,N,TSLA,
20190102,10:01:20.657722999,K,303.0,7,303.41,1,R,6461680,0,,N,TSLA,
20190102,10:01:20.658159925,K,303.0,7,303.41,1,R,6461690,0,,N,TSLA,
20190102,10:01:20.658270288,K,303.0,7,303.4,1,R,6461692,0,,N,TSLA,
20190102,10:01:20.658723283,K,303.0,7,303.4,1,R,6461695,0,,N,TSLA,
20190102,10:01:20.658835690,K,303.0,7,303.39,1,R,6461696,0,,N,TSLA,
20190102,10:01:20.659273900,K,303.0,7,303.39,1,R,6461697,0,,N,TSLA,
20190102,10:01:20.659378060,K,303.0,7,303.38,1,R,6461699,0,,N,TSLA,
20190102,10:01:20.659827744,K,303.0,7,303.38,1,R,6461702,0,,N,TSLA,
20190102,10:01:20.659935434,K,303.0,7,303.37,1,R,6461703,0,,N,TSLA,
20190102,10:01:20.660379313,K,303.0,7,303.37,1,R,6461704,0,,N,TSLA,
20190102,10:01:20.660490829,K,303.0,7,303.36,1,R,6461705,0,,N,TSLA,
20190102,10:01:20.673649369,K,303.05,2,303.36,1,R,6461712,2,,N,TSLA,
20190102,10:01:20.673748852,Y,302.73,1,309.0,1,R,6461713,0,,N,TSLA,
20190102,10:01:20.673758269,Z,303.0,1,303.31,2,R,6461714,0,,N,TSLA,
20190102,10:01:20.711423361,Y,302.73,1,303.27,1,R,6461763,0,,N,TSLA,
20190102,10:01:20.788276882,Z,302.99,1,303.31,2,R,6462049,0,,N,TSLA,
20190102,10:01:20.950152554,K,303.0,7,303.36,1,R,6462256,2,,N,TSLA,
20190102,10:01:20.950281354,Y,302.73,1,303.2,1,R,6462257,2,,N,TSLA,
20190102,10:01:20.950286193,K,303.0,7,303.29,1,R,6462258,0,,N,TSLA,
20190102,10:01:20.950292379,Z,302.99,1,303.31,2,R,6462259,0,,N,TSLA,
20190102,10:01:20.950298707,Z,302.99,1,303.21,1,R,6462260,0,,N,TSLA,
20190102,10:01:20.950299345,K,303.0,7,303.29,1,R,6462261,0,,N,TSLA,
20190102,10:01:20.950443962,K,303.0,7,303.24,1,R,6462262,0,,N,TSLA,
20190102,10:01:20.950496473,Z,302.99,1,303.2,1,R,6462263,0,,N,TSLA,
20190102,10:01:20.950516767,K,303.0,7,303.2,2,R,6462264,2,,N,TSLA,
20190102,10:01:20.989110497,Z,302.99,1,303.24,1,R,6462282,0,,N,TSLA,
20190102,10:01:20.989123452,K,303.0,7,303.24,1,R,6462283,2,,N,TSLA,
20190102,10:01:20.991137528,B,302.16,1,304.54,1,R,6462284,2,,N,TSLA,
20190102,10:01:20.992386957,Z,303.0,5,303.24,1,R,6462286,0,,N,TSLA,
20190102,10:01:21.000245784,V,303.0,1,307.0,1,R,6462290,0,,N,TSLA,
20190102,10:01:21.000455213,Y,302.73,1,309.0,1,R,6462291,2,,N,TSLA,
20190102,10:01:21.003021884,V,303.0,2,307.0,1,R,6462297,0,,N,TSLA,
20190102,10:01:21.006237186,Q,303.0,11,303.21,1,R,6462308,4,,N,TSLA,
20190102,10:01:21.006584018,Y,302.73,1,303.23,1,R,6462309,0,,N,TSLA,
20190102,10:01:21.006599411,Z,303.0,5,303.24,1,R,6462310,0,,N,TSLA,
20190102,10:01:21.012165142,Z,303.0,5,303.24,1,R,6462324,0,,N,TSLA,
20190102,10:01:21.012192746,K,303.0,7,303.24,1,R,6462325,0,,N,TSLA,
20190102,10:01:21.012200454,Z,303.0,5,303.17,1,R,6462326,2,,N,TSLA,
20190102,10:01:21.016744380,Q,303.0,10,303.21,1,R,6462331,2,,N,TSLA,
20190102,10:01:21.041341135,K,303.0,7,303.24,1,R,6462430,0,,N,TSLA,
20190102,10:01:21.041351575,K,303.0,7,303.24,1,R,6462432,0,,N,TSLA,
20190102,10:01:21.041444229,Y,302.73,1,309.0,1,R,6462433,0,,N,TSLA,
20190102,10:01:21.041450331,Y,302.73,1,303.18,1,R,6462434,0,,N,TSLA,
20190102,10:01:21.042166918,Z,303.0,5,303.24,1,R,6462437,2,,N,TSLA,
20190102,10:01:21.042169190,K,303.0,7,303.24,1,R,6462438,0,,N,TSLA,
20190102,10:01:21.042267736,Y,302.73,1,309.0,1,R,6462439,2,,N,TSLA,
20190102,10:01:21.050405806,Z,303.0,5,303.24,1,R,6462453,0,,N,TSLA,
20190102,10:01:21.050412029,Z,302.99,1,303.24,1,R,6462454,0,,N,TSLA,
20190102,10:01:21.050447615,K,303.0,7,303.24,1,R,6462455,0,,N,TSLA,
20190102,10:01:21.050458667,K,303.0,7,303.24,1,R,6462456,0,,N,TSLA,
20190102,10:01:21.050467956,K,303.0,5,303.24,1,R,6462457,0,,N,TSLA,
20190102,10:01:21.050477719,K,303.0,5,303.24,1,R,6462458,0,,N,TSLA,
20190102,10:01:21.050486937,K,303.0,4,303.24,1,R,6462459,0,,N,TSLA,
20190102,10:01:21.050497213,K,303.0,3,303.24,1,R,6462460,0,,N,TSLA,
20190102,10:01:21.050507104,Z,302.91,5,303.24,1,R,6462461,0,,N,TSLA,
20190102,10:01:21.050527318,Z,302.91,5,303.17,1,R,6462462,2,,N,TSLA,
20190102,10:01:21.050553205,Z,302.97,1,303.17,1,R,6462463,0,,N,TSLA,
20190102,10:01:21.050565302,Z,302.91,5,303.17,1,R,6462464,0,,N,TSLA,
20190102,10:01:21.050589698,K,303.0,3,303.24,1,R,6462465,0,,N,TSLA,
20190102,10:01:21.050591985,Z,302.95,1,303.17,1,R,6462466,0,,N,TSLA,
20190102,10:01:21.050597803,Z,302.91,5,303.17,1,R,6462467,0,,N,TSLA,
20190102,10:01:21.050629020,Z,302.91,5,303.24,1,R,6462468,2,,N,TSLA,
20190102,10:01:21.050652116,Z,302.96,1,303.24,1,R,6462469,0,,N,TSLA,
20190102,10:01:21.050657239,Z,302.91,5,303.24,1,R,6462470,0,,N,TSLA,
20190102,10:01:21.050690658,K,303.0,3,303.24,1,R,6462471,0,,N,TSLA,
20190102,10:01:21.050724717,K,302.97,1,303.24,1,R,6462472,0,,N,TSLA,
20190102,10:01:21.050729940,Q,303.0,10,303.12,1,R,6462473,4,,N,TSLA,
20190102,10:01:21.050734530,K,302.97,1,303.24,1,R,6462474,0,,N,TSLA,
20190102,10:01:21.050739247,Z,302.95,1,303.24,1,R,6462475,0,,N,TSLA,
20190102,10:01:21.050747671,Q,303.0,10,303.21,1,R,6462476,4,,N,TSLA,
20190102,10:01:21.050748341,Z,302.91,5,303.24,1,R,6462477,0,,N,TSLA,
20190102,10:01:21.050755405,K,302.98,1,303.24,1,R,6462478,0,,N,TSLA,
20190102,10:01:21.050776784,K,302.99,1,303.24,1,R,6462479,0,,N,TSLA,
20190102,10:01:21.050830090,K,302.97,1,303.24,1,R,6462480,0,,N,TSLA,
20190102,10:01:21.050842568,Z,302.91,5,303.17,1,R,6462481,2,,N,TSLA,
20190102,10:01:21.050846811,K,302.95,1,303.24,1,R,6462482,0,,N,TSLA,
20190102,10:01:21.050864017,Z,302.91,5,303.24,1,R,6462483,2,,N,TSLA,
20190102,10:01:21.050877839,K,302.95,1,303.24,1,R,6462484,0,,N,TSLA,
20190102,10:01:21.050910950,K,302.97,1,303.24,1,R,6462485,0,,N,TSLA,
